geo_uidSTR,pop_per_sqkm,pop_total_2016
4620590.02,11129.6,3340
4620591.01,5469.1,2664
4620591.02,6066.5,4158
4620592,7745.6,7418
4620593.01,4880.1,5087
4620593.02,9362.5,4538
4620594.01,6756.6,2704
4620594.02,938.3,7448
4620600.01,5306.4,3931
4620600.02,10024.2,4141
4620600.03,9494.9,6617
4620601.01,10224.2,3284
4620601.02,10449.2,4466
4620602.01,7062.9,3809
4620602.02,4680.6,2880
4620603.01,6784.9,3615
4620603.02,6520.4,4072
4620603.03,9926.9,3532
4620604.01,3473.7,3241
4620604.02,13211,4501
4620604.03,6137.7,3040
4620604.04,4562.6,3468
4620604.05,8867.2,5229
4620605.01,2585.2,3491
4620605.02,3456.7,1998
4620605.03,5735.5,5911
4620605.04,3098.6,4907
4620605.05,3782,2172
4620610.01,4856.5,4536
4620610.02,9876.5,4558
4620610.03,6742.6,5297
4620610.04,18673.5,3632
4620610.05,11441.2,4406
4620610.06,8144.7,2792
4620610.07,7815.7,4301
4620611.01,3963.5,2822
4620611.02,9814,5541
4620612,6216.2,4641
4620613,7467.4,7398
4620614,7752.5,3446
4620615,9975,5584
4620616,8757.1,6609
4620617.01,6035.8,5460
4620617.02,5972,3926
4620618,6915.1,3479
4620619,10146.8,5806
4620625.01,1179.3,6083
4620625.02,3776.5,7541
4620626,677.7,7174
4620627,1333.3,6850
4620628.01,2701.7,4724
4620628.02,4594.8,3753
4620629,2892.1,3432
4620630.01,3065.3,3697
4620630.02,2346.2,5186
4620631,310.7,7772
4620632.01,3268.4,4964
4620632.02,2410.4,4807
4620632.03,1419.4,5970
4620632.04,3780.1,7175
4620633,3205,5236
4620634,3642.3,2979
4620635,5328.9,5517
4620636,3253.3,7262
4620637.01,3139.9,4988
4620637.02,2976.6,4214
4620638.01,6010.5,5511
4620638.02,4687,2104
4620638.03,6359.9,4312
4620638.04,7693.5,6331
4620639,3088.1,4135
4620640,4968.6,3958
4620641.01,6244.2,8489
4620641.02,2677.5,3431
4620642,765.1,7369
4620643.01,1744.9,5540
4620643.02,1874.1,6778
4620643.03,3589.5,5563
4620644,817.2,1214
4620645,4199.9,6415
4620646.01,6964.4,3618
4620646.02,6066.4,3817
4620646.03,7030,3496
4620647.01,9718.3,3001
4620647.02,4596.4,7426
4620648,4617.6,5229
4620649.01,1797,2628
4620649.02,4199.8,5437
4620650.01,5851,4483
4620650.02,5595.9,4080
4620650.04,3847.4,6851
4620650.05,4920,4276
4620651.01,2960.3,6389
4620651.02,1512,7658
4620652.01,2801.6,8413
4620652.04,3356.9,4266
4620652.06,1828.4,4035
4620652.07,924.6,8884
4620652.08,3442.2,5112
4620652.09,4110.4,4265
4620653,1552.8,952
4620654,438.2,744
4620655.01,2854.8,4206
4620655.02,2680.5,6656
4620656.01,1165.5,7171
4620656.03,1047.1,3975
4620656.04,3519.9,7212
4620657.01,1948.1,3695
4620657.02,3769,5805
4620657.03,2529.2,4511
4620658.01,3465,4306
4620658.02,3502.6,3173
4620658.03,1411.6,8117
4620659.04,765.6,4621
4620659.05,3147,7458
4620659.06,2460.6,4430
4620659.08,4770.9,6581
4620659.09,4031.6,3518
4620659.1,3256.5,3546
4620659.11,2700.2,6572
4620660.01,2744.3,5498
4620660.02,3898.4,5503
4620660.03,3455.8,7167
4620661.01,1694.6,9616
4620661.03,235.8,4556
4620661.04,4791.8,4627
4620662,170.7,4939
4620675,1588.4,6009
4620676.01,2346.2,3542
4620676.02,2512.4,2843
4620676.03,2056.9,2407
4620676.04,2154.9,3275
4620677.01,2688.5,6141
4620677.02,2393.1,5224
4620677.05,2558.7,4864
4620677.06,3149.1,8429
4620677.07,3887.7,3927
4620677.08,2979.9,7440
4620677.09,3392.9,4275
4620677.1,3232.7,4496
4620681,94.6,3439
4620682.02,209.3,2506
4620682.03,357.5,7686
4620682.04,3160.2,3402
4620682.05,3890.7,2997
4620682.06,3021.3,4822
4620683,2706.2,5913
4620684.03,521.4,8919
4620684.05,1377.8,5468
4620684.08,2132.9,5750
4620684.09,319.7,3425
4620684.1,988,4029
4620684.11,1237.8,4502
4620685.02,74.9,4242
4620685.03,762.6,5881
4620685.04,3437.4,3105
4620685.05,1639,4504
4620685.07,1661.7,5645
4620685.08,2853.9,10087
4620686.01,221.9,5795
4620686.02,1032.9,4088
4620686.03,1647.8,3345
4620687.01,1417.6,4473
4620687.03,651.3,10304
4620687.04,2853.1,4959
4620687.06,2029.8,5347
4620687.07,2900.7,5773
4620687.09,172.9,3536
4620687.1,400.4,8797
4620688.02,40.2,3610
4620688.03,2571.8,5221
4620688.04,3113,5590
4620689.01,2477.1,6791
4620689.02,2347.6,3678
4620689.03,2228.1,8135
4620689.04,177.4,5637
4620690,112.5,7383
4620691,2270.6,6274
4620692,144.8,9286
4620693,2599.4,5248
4620694,240.2,7895
4620700.01,3582.4,4737
4620700.03,1810.9,2791
4620700.04,2882.6,4524
4620701.01,1937.6,3354
4620701.02,2359.6,6282
4620702.01,1246.7,2544
4620702.02,1752.7,6808
4620703.02,848.4,3796
4620703.03,1426.9,4456
4620703.04,1759.6,5706
4620704.01,2665.3,4717
4620704.04,2490,4468
4620704.05,1278.7,6239
4620704.06,763.2,1796
4620704.08,353.8,5147
4620704.09,1827.8,4517
4620705.01,2130.5,3370
4620705.02,2722.8,5213
4620706,2801.7,3838
4620707,2510,4656
4620708.01,3905,4725
4620708.02,2703.6,4187
4620709.01,2275.7,8428
4620709.02,2639.3,6320
4620710.03,2835.4,8771
4620710.05,231.3,7469
4620710.06,1688.7,3533
4620710.07,1404.3,4757
4620710.08,3514.7,4334
4620710.09,1560.7,5506
4620710.1,1983.9,5002
4620710.11,2997.8,2743
4620725.03,2323.3,3620
4620725.04,1140.9,3236
4620725.06,31,1637
4620725.07,4381.3,6352
4620725.09,1735.5,3783
4620725.1,1540.5,4957
4620726.01,3358.5,6281
4620726.03,3888.9,4902
4620726.04,2355.1,1873
4620727.01,2931.8,3295
4620727.02,2721.7,4072
4620728.01,3800.6,6688
4620728.02,2283.3,4383
4620728.03,2877.6,2635
4620729,2538.2,3790
4620730.01,1967.4,11350
4620730.02,2259.1,6724
4620731,1391.3,6428
4620732.01,161.8,6687
4620732.03,,
4620732.04,66.7,3824
4620733.01,18,4160
4620733.02,39.2,1686
4620734.03,1116,5907
4620734.04,152.7,3662
4620734.05,227.3,7337
4620734.06,2365.4,5082
4620734.07,70.6,9098
4620735.01,126.4,6642
4620735.02,964.7,8625
4620740.01,20.5,1904
4620740.03,156.2,7040
4620740.04,183.9,8979
4620750.01,333.2,5152
4620750.02,431.4,5502
4620750.04,1865.8,1986
4620750.06,1575.5,5651
4620750.07,2601.5,5105
4620751.01,1996.3,6733
4620751.02,2094.9,7825
4620755.01,404.7,8585
4620755.02,2110.8,11737
4620756.02,87.8,954
4620756.03,204.2,7097
4620756.04,2252.1,6273
4620756.05,2897.8,6419
4620757,237.1,5185
4620758.03,179,4250
4620758.04,366.9,5639
4620758.05,577.2,4403
4620758.06,279,5597
4620760,87.2,6777
4620775,220.1,2318
4620776,398.5,3389
4620777.01,141.3,4293
4620777.02,171,5202
4620780,2368.8,3516
4620781,2536.7,5994
4620782,1304,3221
4620783,1128.8,5626
4620784,3235.7,3978
4620785,1269.1,4484
4620786,1333,4476
4620787,1262,8167
4620788,2751.6,5853
4620789,647.5,7843
4620790,537.6,7883
4620791,2023.7,9032
4620792,137.1,4273
4620800.01,1311.5,4750
4620800.02,3207.3,5300
4620801,2774.9,7263
4620802,558.8,3211
4620804.01,2932.8,7239
4620804.02,211.1,2175
4620805,2917.9,9359
4620806.01,1990.9,3286
4620806.02,1137.8,5323
4620807.01,432.6,8337
4620807.02,178.2,4778
4620825.02,4143,3853
4620825.03,4418.9,5810
4620825.04,3126.6,5474
4620825.05,2931.2,5008
4620825.06,3744,5139
4620825.07,4259.2,6873
4620825.08,208.1,1996
4620826.02,2814.3,4681
4620826.05,2598.5,4043
4620826.06,3611.8,4021
4620826.07,5513.6,4568
4620826.08,2686.7,3349
4620826.09,2550.6,3387
4620826.1,3036.7,6092
4620826.11,4190,4438
4620826.13,3997.3,4070
4620826.14,700,10063
4620827.02,2123.7,7141
4620827.03,1697.7,7430
4620827.04,265.4,9539
4620828.03,1796.7,5302
4620828.04,1269.1,3753
4620828.05,2031.8,5961
4620828.06,712.2,6031
4620829,977.7,7457
4620830.01,1075.2,7105
4620830.03,3797.3,5705
4620830.04,3233.4,4237
4620831.03,2381.7,4958
4620831.04,2740.6,4741
4620831.05,2377.6,4589
4620831.07,38.8,2970
4620831.08,1781.2,8030
4620831.09,2512.6,4227
4620832,,
4620833,102,6320
4620834,49.8,2608
4620850.01,2500,10324
4620850.03,3359.2,5029
4620850.04,578,4867
4620850.05,471.2,3639
4620851,1565.3,5261
4620852.01,158.1,8617
4620852.02,109,845
4620853.02,281.6,5692
4620853.03,1846.6,5683
4620853.04,451,5684
4620854.01,1990.6,5619
4620854.02,294.4,5931
4620855.01,648.3,5124
4620855.03,1609.3,6354
4620855.04,404.8,3366
4620856,159.3,2468
4620857.01,3206.4,4774
4620857.02,3618.5,4276
4620857.06,3939.3,5621
4620857.07,722.4,7275
4620857.08,1484.9,5733
4620857.09,2187,5208
4620857.1,866.4,5716
4620857.11,1727.6,3749
4620857.12,3452.3,3771
4620858.01,3130.1,4729
4620858.02,3232.8,3879
4620858.04,1976,5524
4620858.05,297.7,3011
4620859,3809,2856
4620860.01,3813.7,6335
4620860.02,3171.9,3826
4620861,3444.3,6572
4620862,3025.7,6859
4620863.01,2447,3438
4620863.02,3286.6,6280
4620864,2633.7,5284
4620865,3406.8,1778
4620866,6037.5,2965
4620867,4187.8,6401
4620868.01,3504.3,5596
4620868.02,4846.1,5856
4620869,2901,3109
4620870.01,3528.7,3552
4620870.02,3821.4,2268
4620871.01,5061.6,3741
4620871.02,4106.4,2006
4620872,3659.8,6296
4620873.01,10334.5,4356
4620873.02,6443.7,4220
4620874,5744.1,4948
4620875,6387.1,4759
4620876.01,5280.9,3817
4620876.04,2928.6,7727
4620876.05,1797.8,8512
4620876.06,5613.5,5687
4620876.07,2250.5,2257
4620877.01,1813.5,9240
4620877.02,4016.7,5978
4620878,4550.9,4986
4620879.01,5082.9,3159
4620879.02,4814.3,3694
4620880,4376.5,3955
4620881.01,6444.9,3477
4620881.02,5931,3625
4620882,3743.7,2612
4620883,2649.5,2636
4620884.01,4729.7,3404
4620884.02,3863.7,7460
4620885,2385.5,3869
4620886.01,702.3,3094
4620886.02,1441.8,3051
4620886.03,1415.1,3142
4620887.03,314.7,3599
4620887.04,2618.9,5112
4620887.05,2367.6,4697
4620887.06,2533.1,4515
4620887.07,2,20
4620888.01,102.9,3114
4620888.02,2358.7,5593
4620888.03,2139.6,4558
4620889.01,1926.7,2611
4620889.02,720.1,2859
4620889.03,1508.5,4993
4620900,2092.9,4693
4620901.01,2009.3,4919
4620901.02,2652.8,4401
4620901.03,467.7,8445
4620902,1827.5,5698
4620903.01,716.6,7335
4620903.04,2972.6,4216
4620903.05,3039.6,3735
4620903.08,3330.1,2750
4620903.09,437.4,6067
4620903.1,266,6100
4620903.11,1035.9,3892
4620903.12,3086.2,5990
4620903.13,66.5,2619
4620903.14,67.4,1963
4620904.02,291,4964
4620904.03,65.6,4821
4620904.04,2551.9,3517
4620904.05,2812.1,3744
4620904.06,3610.3,4211
4620926.01,169,5236
4620926.02,96.1,4531
4620929.01,1653.9,3737
4620929.02,1504.2,4684
4620930.02,587.8,9197
4620930.03,349.3,2605
4620930.04,321.6,6783
4621000,2387.4,5493
4621001,58.6,3200
4621002,80.4,5835
4621003,150.2,7044
4621004,461.4,5368
4621005,316.1,7934
4621006,175.6,20786
4622001,1009.2,8031
4622002,18.8,417
4622003,66,130
4622004,2582.7,3015
4622005,3037.9,3640
4622006,0,0
4622007,3079.9,1349
4622008,4844.5,2430
4622009,2840.3,5350
4622010,1.4,5
4622011,4069.9,2538
4622012,2309.3,1608
4622013,2233.8,3942
4622014,2548.4,3827
4622015,3757.1,4637
4622100,209,1984
4622101,132.3,1033
4622102,21.8,1054
4622103,460.7,1672
4622200,2535.1,5527
4622201,2973,4367
4622202,2033.1,7397
4622203,1378.5,3553
4622204,182,822
4622205,1247.6,4132
4622206,73.4,1956
4622207,127,883
4622300,2239.8,2953
4622301,3519.9,3176
4622302,2656.7,2688
4622303,0,0
4622304,1557.5,1094
4622400,58.8,2729
4622401,837.5,3691
4622402,1250,3484
