GEOUID,COL7,COL10
4620734.04,2.3,5.8
4620734.05,2.9,3.8
4620734.06,3.5,5.9
4620734.07,2.2,4.4
4620735.01,5.9,4.3
4620735.02,6.7,5.2
4620740.01,5,7.9
4620740.03,3.8,6.6
4620740.04,2.8,6
4620750.01,4.9,5
4620750.02,2.8,3.9
4620750.04,6.8,9.3
4620750.06,11,6.9
4620750.07,6,6.2
4620751.01,5.4,6.2
4620751.02,3.5,7.1
4620755.01,7.2,4.7
4620755.02,3.9,5.1
4620756.02,2.6,3.4
4620756.03,2.9,4.5
4620756.04,5.6,6.1
4620756.05,7.5,4.7
4620757,4.5,5.7
4620758.03,2.5,5.5
4620758.04,2.4,4.5
4620758.05,1.4,4.3
4620758.06,2,5.3
4620760,2.5,4.7
4620775,4.1,7.7
4620776,4.2,6.6
4620777.01,6.9,5.4
4620777.02,9.1,8.8
4620780,12.6,8.3
4620781,17.3,11.6
4620782,13,10.5
4620783,11.9,6.8
4620784,23.6,14.9
4620785,15.2,10.9
4620786,7.1,5.7
4620787,4.5,6.2
4620788,9.4,6.7
4620789,4.8,7
4620790,5.2,6.2
4620791,3.6,5.2
4620792,2.5,5.8
4620800.01,5.7,9.4
4620800.02,8,7.3
4620801,7.2,8
4620802,6.3,9.6
4620804.01,5.7,8.2
4620804.02,3.7,3.1
4620805,5,9.6
4620806.01,10.2,8.4
4620806.02,4.1,8.2
4620807.01,1.9,4.8
4620807.02,3.6,5.1
4620825.02,8.3,9.3
4620825.03,17.2,8.5
4620825.04,10.2,10.3
4620825.05,11.9,8.2
4620825.06,8.2,7.3
4620825.07,5.8,5.9
4620825.08,6.5,7.7
4620826.02,5.6,5.4
4620826.05,7.1,6
4620826.06,15.3,10.9
4620826.07,6.7,7.8
4620826.08,4.6,3.5
4620826.09,7.3,9.7
4620826.1,7.8,6.3
4620826.11,12.2,10
4620826.13,4.4,7.9
4620826.14,7,5.8
4620827.02,12.8,6.3
4620827.03,3.2,5.4
4620827.04,3.5,4.1
4620828.03,3.3,4.8
4620828.04,4,4.8
4620828.05,2.7,4.2
4620828.06,2.6,4.2
4620829,4.9,5.1
4620830.01,6.2,4.6
4620830.03,4.8,6.6
4620830.04,3.3,4.1
4620831.03,7.1,4.4
4620831.04,5.2,5.9
4620831.05,2.4,4
4620831.07,2,4.1
4620831.08,2.7,4.6
4620831.09,3.1,5
4620832,,
4620833,3.2,4.5
4620834,2.7,4.8
4620850.01,3.1,3
4620850.03,8.9,5.1
4620850.04,1.6,4
4620850.05,4.3,3.6
4620851,9.6,5.1
4620852.01,2.6,4.1
4620852.02,5.3,4
4620853.02,3.9,3.7
4620853.03,3.7,5.9
4620853.04,1.6,3.8
4620854.01,2.2,4.8
4620854.02,2.2,4.8
4620855.01,3,6.3
4620855.03,6.5,4.6
4620855.04,1.8,2.4
4620856,6.7,7.7
4620857.01,7.5,5.5
4620857.02,8,8.1
4620857.06,7.3,5.7
4620857.07,4.3,5.8
4620857.08,8.4,4.9
4620857.09,2.7,6.3
4620857.1,3.3,4.7
4620857.11,5,4.9
4620857.12,5,4.6
4620858.01,5.2,5.5
4620858.02,9.1,8.4
4620858.04,3.3,4.3
4620858.05,3.8,5.1
4620859,11.4,7.3
4620860.01,6.5,6.1
4620860.02,13.2,7.9
4620861,16.5,8.8
4620862,8.6,8.2
4620863.01,5.4,5.8
4620863.02,9.7,5.9
4620864,4.3,5.9
4620865,22.9,11.9
4620866,22.7,8.9
4620867,17.4,7.9
4620868.01,9.2,8
4620868.02,15,9.4
4620869,4.8,5.2
4620870.01,15.8,9
4620870.02,13.7,6.4
4620871.01,17,10.1
4620871.02,9,7.3
4620872,19.3,11.1
4620873.01,24.5,12.7
4620873.02,20.7,9.3
4620874,18.3,11.7
4620875,19.9,9.6
4620876.01,26.6,12.4
4620876.04,4,3.9
4620876.05,5.9,5.4
4620876.06,15.2,8.3
4620876.07,5.2,4.1
4620877.01,3.8,4.6
4620877.02,12.1,7.2
4620878,22.4,10.3
4620879.01,20.2,6.6
4620879.02,13.3,6.2
4620880,15.9,10
4620881.01,17.7,7.7
4620881.02,17.8,6.2
4620882,19.5,8.7
4620883,15.6,10.6
4620884.01,22.1,11.1
4620884.02,18.9,8.7
4620885,13.5,6.5
4620886.01,7.3,2.8
4620886.02,4.9,7.2
4620886.03,13.5,6.3
4620887.03,1.8,4.5
4620887.04,4.9,5.9
4620887.05,3.7,5
4620887.06,1.4,5.4
4620887.07,,
4620888.01,2.7,2.1
4620888.02,1.4,4
4620888.03,2,4.9
4620889.01,12.3,3.1
4620889.02,3.3,3.9
4620889.03,3.6,2.8
4620900,4.8,5.8
4620901.01,5.7,3.7
4620901.02,2.7,3.8
4620901.03,1.3,4.3
4620902,3,5.4
4620903.01,4,4.4
4620903.04,3.5,4.4
4620903.05,2.8,4.3
4620903.08,3.6,4.9
4620903.09,2.9,3.8
4620903.1,2.5,4.3
4620903.11,1.5,4.6
4620903.12,2.2,2.9
4620903.13,1.7,4.2
4620903.14,2.6,4.5
4620904.02,3.3,4.1
4620904.03,1.2,3.3
4620904.04,1,3
4620904.05,2.1,5.3
4620904.06,0.6,3.9
4620926.01,7.2,4.3
4620926.02,4.3,3.8
4620929.01,3.1,5.1
4620929.02,1.6,3.7
4620930.02,2.8,4.5
4620930.03,2.1,4.2
4620930.04,3,4
4621000,5.3,5.2
4621001,4.7,6.8
4621002,2.7,4.8
4621003,1.8,4.6
4621004,2.2,5.4
4621005,2.5,5.6
4621006,5.3,7.5
4622001,3.2,4.2
4622002,1.2,4.9
4622003,,
4622004,13.3,8.9
4622005,12.1,6.8
4622006,,
4622007,27.4,8.1
4622008,20.6,12.7
4622009,4.9,6.5
4622010,,
4622011,22.6,10
4622012,9.7,8.2
4622013,4.5,5.7
4622014,4.1,7
4622015,15.2,11
4622100,1.8,3.5
4622101,2.9,8
4622102,1.4,5.3
4622103,1.8,5.3
4622200,2.2,5
4622201,2.3,5.6
4622202,2.7,4.3
4622203,2.7,4.7
4622204,1.2,2
4622205,3.4,3.3
4622206,1.3,4.6
4622207,1.1,1.9
4622300,5.4,6.6
4622301,15.1,7.7
4622302,3.9,6.5
4622303,,
4622304,3.2,4
4622400,3.7,7.1
4622401,3.1,4.2
4622402,2.2,4.2
